Page,File,Keywords
__root,src/routes/__root.tsx,"found, didn, load, viewport, description, author, robots, twitter, card, title, image"
about,src/routes/about.tsx,"Us, Quality, First, Focused, Results, Always, Learning, True, Partnership, Discover, Build, Plan, Launch, Grow, Improve, Reach, People, Win, Online, dedicated"
blog / $slug,src/routes/blog.$slug.tsx,"Blog, SEO, Expert, Right, Strategy, Helps, People, Find, Trust, Choose, Actually, Keyword, Research, Start, Need, Semantic, Cover, Topic, Technical, Make"
blog,src/routes/blog.tsx,"Blog, SEO, GEO, Expert, Right, Strategy, Helps, People, Find, Trust, Choose, Explore, Latest, Insights, featuredPost, title, Ready, Grow, description, Learn"
contact,src/routes/contact.tsx,"Contact, Let, Tell, us, working, want, go, identify, right, SEO, GEO, website, advertising, opportunity, starts, problem, simple, process, first, conversation"
index,src/routes/index.tsx,"Sales, CRM, Social, Media, Management, Reach, Email, SEO, GEO, Virtual, Assistance, GMB, Google, Ads, TikTok, Shop, Website, Designing, Amazon, Graphic"
knowledge base of digital marketing,src/routes/knowledge-base-of-digital-marketing.tsx,"Guide, SEO, AEO, GEO, Explained, Complete, Work, Start, No, Experience, Many, Agencies, US, Top, Search, Engine, Optimization, Works, vs, Difference"
portfolio,src/routes/portfolio.tsx,"Portfolio, Lumen, Health, Rebrand, Forge, Anvil, Storefront, Northpeak, SaaS, Site, GreenLeaf, Organic, Atlas, Outdoor, Listings, Vela, Beauty, Identity, Helix, Fitness"
privacy,src/routes/privacy.tsx,"Privacy, Policy, Last, updated, January, description"
quote,src/routes/quote.tsx,"Free, Quote, few, quick, questions, us, tailor, precise, proposal, Takes, seconds, description"
services / ads,src/routes/services.ads.tsx,"Google, Ads, Paid, Advertising, Management, Social, Media, Amazon, PPC, TikTok, Shop, Retargeting, Remarketing, Tracking, Analytics, Leads, Sales, Turn, traffic, measurable"
services / amazon,src/routes/services.amazon.tsx,"Amazon, Flourishing, PPC, Management, Content, Implementation, Listing, Keyword, Optimization, Store, Inventory, Strategy, Brand, Registry, Defense, Scale, storefront, profitably, Full, funnel"
services / ecommerce,src/routes/services.ecommerce.tsx,"Ecommerce, Amazon, Shopify, eBay, Account, Management, Store, Setup, Optimization, TikTok, Shop, Product, Listing, Marketplace, PPC, Advertising, Inventory, combine, SEO, listings"
services / graphic design,src/routes/services.graphic-design.tsx,"Graphic, Design, Logo, B2B, Brand, Guidelines, Development, Typography, Systems, Custom, Vector, Asset, Illustration, Motion, AI, Powered, Video, Reel, Editing, Visual"
services / index,src/routes/services.index.tsx,"Search, Engine, Optimization, SEO, commerce, Marketplace, Management, Paid, Advertising, Ads, Graphic, Creative, Design, Website, Development, Virtual, Assistance, Support, lever, need"
services / technical seo,src/routes/services.technical-seo.tsx,"Technical, SEO, Search, AI, Audit, Ecommerce, JavaScript, Rendering, Core, Web, Vitals, Performance, AEO, GEO, B2B, build, foundation, helps, Google, systems"
services / virtual assistance,src/routes/services.virtual-assistance.tsx,"Virtual, Assistant, Administrative, CRM, Management, Data, Support, Customer, Client, Social, Media, Lead, Generation, Sales, Reliable, remote, administration, ecommerce, research, operations"
services / web design,src/routes/services.web-design.tsx,"Web, Design, Trends, Custom, Development, UI/UX, Architecture, Responsive, Ecommerce, Website, SEO, B2B, Small, Websites, Building, Modern, designed, around, customers, search"
